item_name,"('000001.SZ', 2025)","('600585.SH', 2025)","('601318.SH', 2025)"
营业收入,,82532050796.0,
销售费用,,3500998769.0,
管理费用,,6000090919.0,
研发费用,,847445108.0,
投资收益,20474.0,748688321.0,152863.0
营业利润,51408.0,10207798203.0,
利润总额,51159.0,10419956581.0,
净利润,42633.0,7865688001.0,
一净利润–––––,,,134778.0
一持续经营净利润,42633.0,,
七收购子公司–,,,5506.0
不能转损益的保险合同金融变动,,,-34412.0
业务及管理费,-40582.0,,-511.0
九与少数股东的权益性交易–,,,255.0
九少数股东增资–––––,,,33.0
五其他综合收益结转留存收益–––,,,1566.0
以摊余成本计量的金融资产终止确认产生的损益,,,1473.0
保险服务收入,,,559502.0
保险服务费用,,,-453268.0
信用减值损失,-48939.0,,-85582.0
信用减值损失（损失以“－”号填列）,,-595920.0,
债务工具信用减值准备,,,2360.0
债务工具公允价值变动,,,240577.0
八与少数股东的权益性交易–,,,5874.0
八处置子公司–––––,,,-17753.0
公允价值变动损益,3104.0,,66504.0
六支付给少数股东的股利–––––,,,-9310.0
其中：利息费用,,650683070.0,
其中：对联营企业和合营企业的投资损益,,,-4804.0
其他业务成本,,,-512.0
其他业务收入,294.0,,77782.0
其他收益,178.0,,1803.0
其他权益工具–––––,,,39816.0
其他权益工具投资公允价值变动,,,67947.0
其他综合收益合计,,,-38785.0
其他资产减值损失,-489.0,,-7177.0
减值损失前营业利润,91975.0,,
减：分出再保险财务损益,,,336.0
减：所得税费用,-10230.0,2554268580.0,-27289.0
减：摊回保险服务费用,,,11032.0
减：营业外支出,-505.0,280547415.0,-2797.0
减：营业成本,,62589049730.0,
分出保费的分摊,,,-16098.0
利息净收入,88021.0,,
利息支出,-104954.0,,
利息收入,169863.0,1916570898.0,
加：其他收益,,457844642.0,
加：营业外收入,37.0,492705793.0,691.0
十三其他–,,,390.0
十五其他–,,,440.0
十少数股东增资–––––,,,540.0
可转损益的保险合同金融变动,,,86766.0
可转损益的分出再保险合同金融变动,,,666.0
基本每股收益,,,-571.0
外币财务报表折算差额,,,854.0
少数股东损益,,,23523.0
归属于少数股东的其他综合收益的税后净额,,,829.0
归属于少数股东的综合收益总额,,,22216.0
归属于母公司股东的净利润,,,134778.0
归属于母公司股东的综合收益总额,,,132133.0
手续费及佣金净收入,23894.0,,
手续费及佣金支出,-3732.0,,
手续费及佣金收入,27240.0,,
承保财务损益,,,-315.0
持续经营净利润,,6946834490.0,158301.0
提取保费准备金,,,-356.0
权益法下不可转损益的其他综合收益,,,1521.0
权益法下可转损益的其他综合收益,,,1466.0
汇兑损益,960.0,,618.0
现金流量套期储备,,,291.0
生的收益,1539.0,,
稀释每股收益,,,-572.0
税金及附加,-1479.0,981834644.0,-3764.0
综合收益总额合计–––,,,134778.0
营业支出合计,-42061.0,,-862810.0
营业收入合计,131442.0,,1050506.0
财务费用（收益以“-”号填列）,,-913433686.0,
资产处置损益,252.0,,325.0
资产处置收益（损失以“－”号填列）,,-4926426.0,
银行业务利息净收入,,,88662.0
银行业务利息支出,,,-104048.0
银行业务利息收入,,,169704.0
非保险业务手续费及佣金净收入,,,43532.0
非保险业务手续费及佣金支出,,,-8703.0
非保险业务手续费及佣金收入,,,52235.0
非银行业务利息支出,,,-21609.0
非银行业务利息收入,,,135798.0
